Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXTbJ2VpYHacp3cOUy4S4AX0,Interest,BTC,0.00000008,BTC,0.00000008,$0.01,-,-,"approved / BTC Interest Earned",2026-09-08 05:00:00
NXT2MixtnJIYV0WSoVcd5Ia89,Interest,USDT,0.01581600,USDT,0.01581600,$0.02,-,-,"approved / USDT Interest Earned",2026-09-08 05:00:00
NXT4e36Oohi4wuDUsCrwTOr45,Interest,BTC,0.00000008,BTC,0.00000008,$0.01,-,-,"approved / BTC Interest Earned",2026-09-07 05:00:00
NXT6KbaUGsylmQmNmxhvbw2rf,Interest,USDT,0.01581300,USDT,0.01581300,$0.02,-,-,"approved / USDT Interest Earned",2026-09-07 05:00:00
NXT3Qu2hJurMeF8xPdMzxJEBm,Interest,BTC,0.00000008,BTC,0.00000008,$0.01,-,-,"approved / BTC Interest Earned",2026-09-06 05:00:00
NXTjlcKvoBIu7EyIKq6WhpIT,Interest,USDT,0.01581100,USDT,0.01581100,$0.02,-,-,"approved / USDT Interest Earned",2026-09-06 05:00:00
NXT3SCW5eNgLAJl5yJR7uMhUE,Interest,BTC,0.00000008,BTC,0.00000008,$0.01,-,-,"approved / BTC Interest Earned",2026-09-05 05:00:00
NXT5dlXPrnimXoCpvptUuW5an,Interest,USDT,0.01580900,USDT,0.01580900,$0.02,-,-,"approved / USDT Interest Earned",2026-09-05 05:00:00
NXT4llU0mrJ5kZZQRVFDS35j4,Exchange Deposited On,USD,1.09000000,USDX,1.09000000,$1.09,-,-,"approved / Cash Dividend UPS - US Dollar to USDX",2026-09-04 08:18:36
NXT5WXMor4ESMCoPksVTy6fGi,Deposit To Exchange,USD,1.09000000,-,0.00000000,$1.09,-,-,"approved / Cash Dividend UPS - US Dollar Top Up",2026-09-04 08:18:36
NXT3JjgSS8VcSowWo60cHwlf9,Interest,BTC,0.00000008,BTC,0.00000008,$0.01,-,-,"approved / BTC Interest Earned",2026-09-04 05:00:00
NXTqt6bua6GRxwyW6lYmRLsN,Interest,USDT,0.01580600,USDT,0.01580600,$0.02,-,-,"approved / USDT Interest Earned",2026-09-04 05:00:00
NXT1akZfeaCz7RrzAg8C2PPRd,Exchange Stock,USDT,0.60735707,MCD,0.60735707,$158.58,-,-,"approved / Exchange Tether to McDonald's Corp",2026-09-03 13:31:37
NXT14Vj8dRitMopGW5jhCcCzb,Interest,BTC,0.00000008,BTC,0.00000008,$0.01,-,-,"approved / BTC Interest Earned",2026-09-03 05:00:00
NXT2kqKJQYlC2WGfWJIHO6DR7,Exchange Stock,USDT,0.06903595,CAT,0.06903595,$54.56,-,-,"approved / Exchange Tether to Caterpillar Inc.",2026-09-02 19:16:45
NXT16Jhg2TJlXdnFqko4YuGpw,Exchange Stock,VIST,322.72066300,USDT,322.72066300,$324.98,-,-,"approved / Exchange Vista Energy SAB de CV - ADR to Tether",2026-09-02 19:14:20
NXT2rkAWTPJHGjfdTA6ByjOY3,Exchange Stock,USDT,0.12279450,CAT,0.12279450,$96.79,-,-,"approved / Exchange Tether to Caterpillar Inc.",2026-09-02 19:06:34
NXT3GH1XcysFNaoLkq3yBH10P,Exchange Stock,UPS,97.55760800,USDT,97.55760800,$98.24,-,-,"approved / Exchange United Parcel Service, Inc. to Tether",2026-09-02 19:05:49
NXTxoU7nSgCE0dI06fnCRFOg,Interest,BTC,0.00000008,BTC,0.00000008,$0.01,-,-,"approved / BTC Interest Earned",2026-09-02 05:00:00
NXT2hXoFf40328QqCPU4W97Vl,Exchange Stock,USDT,1.53441664,WMT,1.53441664,$161.67,-,-,"approved / Exchange Tether to Walmart Inc",2026-09-01 13:47:02
NXT63dVF9CGyOPBW4AVnRUzo4,Exchange Stock,USDT,0.37549127,UNH,0.37549127,$148.67,-,-,"approved / Exchange Tether to UnitedHealth Group Inc",2026-09-01 13:46:22
NXT1DykV51XeIe6snWAFqyl9q,Interest,BTC,0.00000008,BTC,0.00000008,$0.01,-,-,"approved / BTC Interest Earned",2026-09-01 05:00:00
